,category_code,status,country_code,state_code,region,city,funding_round_type
26863,38,3,23,19,78,231,0
26848,38,1,23,4,625,1656,0
26843,42,3,23,47,667,1860,0
26819,15,3,23,31,669,1863,0
26818,15,3,23,31,669,1863,0
26808,19,3,23,37,155,453,0
26807,7,1,23,4,625,1792,0
26592,38,3,23,14,126,383,0
27211,4,3,23,14,250,724,0
27587,0,3,23,4,466,1321,0
27582,22,3,23,4,625,1512,0
27577,26,3,23,34,482,1352,0
27573,42,3,23,4,373,2329,0
27572,42,3,23,4,373,2329,0
27596,42,3,23,31,726,387,0
27564,42,3,23,9,417,107,0
27540,38,3,23,16,325,1601,0
27539,38,3,23,16,325,1601,0
27538,38,3,23,16,325,1601,0
27535,42,1,23,23,430,1234,0
27557,28,3,23,4,373,1832,0
27509,14,3,23,4,373,841,0
27597,28,3,23,4,642,1788,0
27731,22,3,23,4,625,1792,0
27729,38,3,23,4,625,1480,0
27709,38,1,23,43,31,2151,0
27691,9,3,23,19,78,1160,0
27680,42,3,23,14,126,383,0
27662,38,3,23,19,78,81,0
27638,42,3,23,5,171,233,0
27637,42,3,23,5,171,233,0
27636,0,0,23,38,555,1547,0
27634,0,0,23,38,555,1547,0
27508,14,3,23,4,373,841,0
27491,37,3,23,34,2,33,0
27346,12,1,23,24,635,1955,0
27333,42,3,23,33,347,1021,0
27321,7,3,23,4,625,1792,0
27307,38,3,23,4,625,1792,0
27306,38,3,23,4,625,1792,0
27355,0,3,23,43,164,700,0
27286,38,3,23,47,667,1880,0
27259,3,3,23,4,642,1788,0
27254,42,3,23,4,373,1832,0
27251,42,0,23,5,171,233,0
27250,42,0,23,5,171,233,0
27237,9,3,23,9,417,1207,0
27231,14,3,23,14,117,362,0
27363,34,3,23,4,642,1788,0
27487,38,3,23,7,778,2167,0
27486,42,1,23,14,126,383,0
27444,38,3,23,10,23,11,0
27441,18,3,23,40,118,368,0
27421,1,3,23,4,625,1434,0
27419,7,3,23,34,482,1352,0
27413,5,3,23,38,555,1573,0
27399,28,3,23,4,726,1501,0
27377,42,3,23,4,625,1792,0
27372,11,3,23,34,812,2249,0
27364,38,3,23,34,482,2321,0
27414,42,3,23,4,625,1285,0
26591,38,3,23,14,126,383,0
26587,7,3,23,47,667,1860,0
26009,3,3,23,14,117,362,0
25987,3,3,23,19,78,2158,0
25974,3,3,23,15,309,894,0
25934,42,3,23,4,625,1792,0
25913,20,3,23,27,119,370,0
25899,38,3,23,35,148,431,0
25898,42,3,23,33,347,1021,0
25897,28,0,23,48,386,1134,0
